Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,20,8,0,90,100,5,490,3.98,0,0,0,52.95,83,490
0,18,8,0,90,100,5,490,3.98,0,0,0,52.95,83,490
0,16,8,0,90,100,5,490,3.98,0,0,0,52.95,83,490
0,16,10,0,90,100,5,470,3.81,0,0,0,56.1,49,490
0,14,10,0,90,100,5,481,3.91,0,0,0,50.04,83,481
0,12,10,0,90,100,5,491,4.86,0,0,0,1.34,0,491
0,10,10,0,90,100,5,98,4.16,0,0,0,0,0,113
0,8,10,0,90,100,5,177,3.88,0,0,0,5.41,36,180
0,10,10,0,88,100,5,190,4.92,0,0,0,0,0,190
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
0,10,10,0,88,100,5,144,4.86,0,0,0,0,0,144
