Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,14,0,0,84,100,5,492,4.82,477,4.9,0.63,1.45,18.69,498
0,14,0,0,86,100,5,394,3.81,394,4.83,0.12,7.47,29.37,400
0,14,0,0,88,100,5,491,4.82,470,4.82,0.61,1.45,18.69,498
0,14,0,0,90,100,5,482,4.82,481,4.92,0.57,1.04,18.8,498
0,14,0,0,90,100,5,491,4.84,491,4.87,0.08,4.24,15.21,500
0,14,0,0,90,100,5,113,4.98,98,4.91,0.04,0.5,25.47,500
0,14,0,0,88,100,5,181,4.96,177,4.9,0.29,2.92,21.75,498
0,14,0,0,90,100,5,190,4.92,190,4.93,0.04,0.91,22.62,500
0,14,0,0,88,100,5,0,0,0,0,0,56,248,485
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
0,14,0,0,90,100,5,145,4.92,144,4.91,0.04,1.62,23.1,500
