Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
1,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
2,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
3,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
4,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
5,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
6,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
7,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
8,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
9,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
10,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
11,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
12,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
13,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
14,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
15,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
16,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
17,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
18,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
19,100,200,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
