Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
1,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
2,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
3,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
4,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
5,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
6,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
7,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
8,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
9,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
10,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
11,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
12,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
13,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
14,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
15,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
16,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
17,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
18,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
19,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
20,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
21,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
22,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
23,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
24,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
25,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
26,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
28,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
29,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
30,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
31,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
32,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
