Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,160,80,0,90,100,5.0,185,4.92,0,0.0,0,0.0,0,191
1,180,80,0,90,100,5.0,302,4.82,0,0.0,0,0.0,0,308
2,200,80,0,90,100,5.0,251,4.87,0,0.0,0,0.0,0,255
3,200,80,0,90,100,5.0,198,4.83,0,0.0,0,0.0,0,209
4,200,80,0,90,100,5.0,105,4.88,0,0.0,0,0.0,0,131
5,200,80,0,90,100,5.0,91,4.83,0,0.0,0,0.1,0,118
6,200,80,0,90,100,5.0,77,4.93,0,0.0,0,0.0,0,114
7,200,80,0,90,100,5.0,76,4.85,0,0.0,0,0.1,0,103
8,200,80,0,88,100,5.0,79,4.78,0,0.0,0,0.1,0,129
9,200,80,0,88,100,5.0,105,4.7,0,0.0,0,0.0,0,156
10,200,80,0,88,100,5.0,138,4.88,0,0.0,0,0.0,0,191
11,200,80,0,88,100,5.0,225,4.85,0,0.0,0,0.0,0,267
12,200,80,0,88,100,5.0,213,3.74,0,0.0,0,0.0,0,230
13,200,80,0,88,100,5.0,275,3.79,0,0.0,0,0.0,1,280
14,200,80,0,88,100,5.0,262,4.85,0,0.0,0,0.1,0,288
15,200,80,0,88,100,5.0,366,4.8,0,0.0,0,0.1,0,367
16,200,80,0,88,100,5.0,325,4.82,0,0.0,0,0.21,0,340
17,200,80,0,88,100,5.0,345,4.81,0,0.0,0,0.0,0,354
18,200,80,0,88,100,5.0,278,4.83,0,0.0,0,0.1,0,307
19,200,80,0,88,100,5.0,381,4.81,0,0.0,0,0.21,0,388
