Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,14,14,0,84,100,5,0,0,0,0,0,0,0,0
1,14,14,0,84,100,5,0,0,0,0,0,0,0,0
2,14,14,0,84,100,5,0,0,0,0,0,0,0,0
3,14,14,0,84,100,5,0,0,0,0,0,0,0,0
4,14,14,0,84,100,5,0,0,0,0,0,0,0,0
5,14,14,0,84,100,5,0,0,0,0,0,0,0,0
6,14,14,0,84,100,5,0,0,0,0,0,0,0,0
7,14,14,0,84,100,5,0,0,0,0,0,0,0,0
8,14,14,0,84,100,5,0,0,0,0,0,0,0,0
9,14,14,0,84,100,5,0,0,0,0,0,0,0,0
10,14,14,0,84,100,5,0,0,0,0,0,0,0,0
11,14,14,0,84,100,5,0,0,0,0,0,0,0,0
12,14,14,0,84,100,5,0,0,0,0,0,0,0,0
13,14,14,0,84,100,5,0,0,0,0,0,0,0,0
14,14,14,0,84,100,5,0,0,0,0,0,0,0,0
15,14,14,0,84,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
0,14,14,0,82,100,5,0,0,0,0,0,0,0,0
